,source_spreadsheet,key,annotator,date_annotated,double_checked_by,date_double_checked,annotation_comments,exclude,time_taken,pub_venue,pub_authors,pub_year,pub_url,system_language,system_input,system_output,system_task,system_application_domain,criterion_verbatim,criterion_definition_verbatim,criterion_paraphrase,criterion_definition_paraphrase,op_form,op_question_prompt_verbatim,op_question_prompt_paraphrase,op_data_type,op_instrument_type,op_instrument_size,op_response_values,op_statistics
49,3,ZCLXSGW2020,MC,30/07/2020,,,,,,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,English,text: sentence,text: sentence,feature-controlled generation,Unsupervised style transfer,preservation of original content,,Originality,,Unclear,not given,not given,N/A,Likert Scale,5,N/A,Fleiss Kappa
50,3,ZCLXSGW2020,MC,30/07/2020,,,,,,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,English,text: sentence,text: sentence,feature-controlled generation,Unsupervised style transfer,fluency,,Fluency,,Unclear,not given,not given,N/A,Likert Scale,5,N/A,Fleiss Kappa
51,4,WWAYC2020,SM,30.07.2020,,,,,~1:00:00,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,EN,structured data,text: paragraph,data-to-text generation (no summarisation),Neural Data-To-Text Generation,Grammar,"4: There are no grammar errors.
3: There are a few grammar 
errors, but sentnece meaning is clear.
2: There are some grammar error, but not in-
fluencing its meaning.
1: There are many grammar errors. People can-
not understand the sentence meaning.
",Grammaticality,"The level of grammar correctness in the
generated texts.",Direct quality estimation,not clear,not clear,Ordinal,Numerical Rating Scale,4,"1,2,3,4",Mean average
52,4,WWAYC2020,SM,30.07.2020,,,,,~1:00:00,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,EN,structured data,text: paragraph,data-to-text generation (no summarisation),Neural Data-To-Text Generation,Fluency,"4: The sentence meaning is clear and flow nat-
urally and smoothly.
3: The sentence meaning is clear, but there are
a few interruptions.
2: The sentence does not flow smoothly but peo-
ple can understand its meaning.
1: The sentence is not fluent at all and people
cannot understand its meaning.",Fluency,The level of textual fluency in the generated texts.,Direct quality estimation,not clear,not clear,Ordinal,Numerical Rating Scale,4,"1,2,3,4",Mean average
53,4,WWAYC2020,SM,30.07.2020,,,,,~1:00:00,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,EN,structured data,text: paragraph,data-to-text generation (no summarisation),Neural Data-To-Text Generation,Faithfulness,"""A sentence is faithful if it contains only information supported by the table. It should not contain additional information other than the information provided by the table or inferred from the table. Also, the generated sentence should cover as much information in the given table as possible.""",Correctness relative to input,How correct the generated text is relative to the input data.,"Other (please specify)

Extract the entites from the text and then compute precision and recall metrics ","""The raters first manually extract entities from the generated sentences and then calculate the precision as the percentage of entities in the generated text also appear in the table; calculate the recall as the percentage of entities in the table also appear in the generated text.""",not clear,N/A,N/A,unclear,N/A,precsion and F1 recall
54,4,LBHDC2020,SM,30.07.2020,,,,,0:15:00,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,EN,"text: other (please specify)

word",text: sentence,summarisation (text-to-text),Neural Definition Generation,Fluency,None given,Fluency,"The level of textual fluency in the generated 
texts.",Direct quality estimation,"""We randomly selected 100 samples from the test set of Oxford dataset, and invited four people with at least CET6 level English skills to rate the output definitions in terms of fluency and semantic completeness from 1 to 5 points""",not clear,Ordinal,Numerical Rating Scale,5,"1,2,3,4,5",Mean average
55,4,LBHDC2020,SM,30.07.2020,,,,,0:15:00,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,EN,"text: other (please specify)

word",text: sentence,summarisation (text-to-text),Neural Definition Generation,Semantic Completeness,None given,Correctness relative to input,How correct the generated text is relative to the input data.,Direct quality estimation,"""We randomly selected 100 samples from the test set of Oxford dataset, and invited four people with at least CET6 level English skills to rate the output definitions in terms of fluency and semantic completeness from 1 to 5 points""",not clear,Ordinal,Numerical Rating Scale,5,"1,2,3,4,5",Mean average
56,4,CCSCW2020,SM,30.07.2020,,,,,0:25:00,ACL,"Chen, Chen, Su, Chen, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.708.pdf,EN,structured data,text: sentence,summarisation (data-to-text),Neural Table-to-Text Generation,Non-sense,"""the sentence does not make much sense, which is mainly due to disfluency or repetition problem.""",Understandability,Whether the sentence makes any sense to the reader.,Unclear,"""Specifically, we sample 200 sentences from different models and distribute them independently to human experts (graduate students from the computer science department) to verify their quality""",not clear,Not given,Unclear,,,
57,4,CCSCW2020,SM,30.07.2020,,,,,0:25:00,ACL,"Chen, Chen, Su, Chen, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.708.pdf,EN,structured data,text: sentence,summarisation (data-to-text),Neural Table-to-Text Generation,Wrong,"""a fluent sentence with wrong logic""",Correctness of Content,Whether the sentence is semantically correct or not.,Unclear,"""Specifically, we sample 200 sentences from different models and distribute them independently to human experts (graduate students from the computer science department) to verify their quality""",not clear,Not given,Unclear,,,
58,4,CCSCW2020,SM,30.07.2020,,,,,0:25:00,ACL,"Chen, Chen, Su, Chen, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.708.pdf,EN,structured data,text: sentence,summarisation (data-to-text),Neural Table-to-Text Generation,Partial-correct,"""the sentence contains more than one fact, at least one of them is correct.""",Correctness of Content,Whether the sentence has at leat one correct fact.,Unclear,"""Specifically, we sample 200 sentences from different models and distribute them independently to human experts (graduate students from the computer science department) to verify their quality""",not clear,Not given,Unclear,,,
59,4,CCSCW2020,SM,30.07.2020,,,,,0:25:00,ACL,"Chen, Chen, Su, Chen, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.708.pdf,EN,structured data,text: sentence,summarisation (data-to-text),Neural Table-to-Text Generation,Correct,"""the high-quality in both fluency and logic correctness.""",Correctness of Content,Whether the sentence is fluent and has correct content.,Unclear,"""Specifically, we sample 200 sentences from different models and distribute them independently to human experts (graduate students from the computer science department) to verify their quality""",not clear,Not given,Unclear,,,
60,4,LLJKH2020,SM,30..07.2020,,,,,0:11:00,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,EN,text: paragraph,"other (please specify)
QA pairs","multiple (list all)
question generation
question answering",Neural Question and Answer Generation,Diversity,None given,Nonredundancy,How diverse the generated content is.,Unclear,"""pairwise human evaluation of the QA pairs generated by our Info-HCVAE and Maxout- QG on 100 randomly selected paragraphs. Specif- ically, 20 human judges performed blind quality assessment of two sets of QA pairs that are pre- sented in a random order, each of which contained two to five QA pairs""",not clear,Not given,Unclear,,,
61,4,LLJKH2020,SM,30..07.2020,,,,,0:11:00,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,EN,text: paragraph,"other (please specify)
QA pairs","multiple (list all)
question generation
question answering",Neural Question and Answer Generation,Consistency,None given,Cohesion,How consistent the content generated is.,Unclear,"""pairwise human evaluation of the QA pairs generated by our Info-HCVAE and Maxout- QG on 100 randomly selected paragraphs. Specif- ically, 20 human judges performed blind quality assessment of two sets of QA pairs that are pre- sented in a random order, each of which contained two to five QA pairs""",not clear,Not given,Unclear,,,
62,4,LLJKH2020,SM,30..07.2020,,,,,0:11:00,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,EN,text: paragraph,"other (please specify)
QA pairs","multiple (list all)
question generation
question answering",Neural Question and Answer Generation,Overall quality,None given,Quality of Content,The overall quality of the content generated.,Unclear,"""pairwise human evaluation of the QA pairs generated by our Info-HCVAE and Maxout- QG on 100 randomly selected paragraphs. Specif- ically, 20 human judges performed blind quality assessment of two sets of QA pairs that are pre- sented in a random order, each of which contained two to five QA pairs""",not clear,Not given,Unclear,,,
63,4,SWSZXGY2020,SM,30.07.2020,,,,,0:16:00,ACL,"Song, Wang, Su, Zhang, Xu, Ge, & Yu",2020,https://www.aclweb.org/anthology/2020.acl-main.712.pdf,EN,deep linguistic representation,text: sentence,deep generation (DLR to text),AMR Graph to Text Generation,Preserving Input Relation,"""we first extract all interactions of a subject, a predict and an object (corresponding to the AMR fragment “pred :ARG0 subj :ARG1 obj”) from each AMR graph, and then check how many interactions are preserved by the output of a model""",Adequacy Recall,The recall accuracy to see how many relations are perserved by the model.,Task performance measurements,"""we choose 200 AMR- sentence pairs to conduct this study and compare our model with the baseline in terms of the recall number, showing the percent of preserved inter- actions. To determine if a sentence preserves an interaction, we ask 3 people with NLP background to make their decisions and choose the majority vote as the human judgement.""",not clear,Categorical,Counting,,,Recall
64,4,MANSLFR2020,SM,30.07.2020,,,,,0:15:00,ACL,"Mager, Astudillo, Naseem, Sultan, Lee, Florian, & Roukos",2020,https://www.aclweb.org/anthology/2020.acl-main.167.pdf,EN,deep linguistic representation,text: sentence,deep generation (DLR to text),AMR  to Text Generation,Semantic Similarity,"""we also carry out human evaluation experiments and use the semantic similarity metric BERTScore""",Correctness of Surface Form,"How correct the generated text is in terms of grammar, vocabulary, and style.",Direct quality estimation,"""Human evaluations are carried out by three professional annotators on 51 randomly selected sen- tences from the 1371 test sentences, on a 6 point scale, ranging from 0 to 5""",not clear,Ordinal,Numerical Rating Scale,6,"0,1,2,3,4,5","Mean average, 
recall"
65,4,IDCBE2020,SM,30.07.2020,,,,,0:30:00,ACL,"Ippolito, Duckworth, Callison-Burch, & Eck",2020,https://www.aclweb.org/anthology/2020.acl-main.164.pdf,EN,text: sentence,text: paragraph,"other (please specify)

Neural generation",Neural Text Generation,Human Detection,"""We ask the raters to decide whether a passage of text was written by a human or by a computer algorithm.""",Humanlikeness (form),Whether the generated text is from a computer author or not.,"Other (please specify)


User text source estimation","""Guess whether the text on the left was written by a human or by a computer algorithm.""","User has to estimate for a given text whever text is from a human or machine generated source into four categories. ""Definitely"" machine or human or ""possibly"" machine or human written/generated.",Categorical,Likert Scale,4,"1. Definitely Human-written
2. Possibly Human-written
3. Possibly Machine-generated
4. Definitely Machine-generated",Accuracy
66,4,DLL2020,SM,30.07.2020,,,,,0:27:00,ACL,"Donahue, Lee, & Liang",2020,https://www.aclweb.org/anthology/2020.acl-main.225.pdf,EN,"text: other (please specify)

Sentence Template",text: sentence,"other (please specify)

Neural generation",Neural Text Infilling,Human Detection,"""To this end, we sample a story from the STORIES test set and randomly replace one of its five human- written sentences with a model output. Then, we task human annotators on Amazon Mechani- cal Turk with identifying which of the sentences in a story was machine-generated.""",Humanlikeness (form),Which sentence is machine generated in a given story.,"Other (please specify)


User text source estimation","""Identify one of five sentences generated by machine""",The user has to identify which sentence out of five is the machine genrated sentence.,Categorical,N/A,,,Percentage of inaccuracy
67,4,ZCLXSGW2020,SM,31.07.2020,,,,,0:37:00,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,EN,text: sentence,text: sentence,"other (please specify)

Neural generation",Neural Text Style Transfer,Accuracy of style transfer,None given,Correctness relative to input,How accurate is the style change given the input.,Direct quality estimation,not clear,not clear,Ordinal,Numerical Rating Scale,5,"1,2,3,4,5",Mean Average
68,4,ZCLXSGW2020,SM,31.07.2020,,,,,0:37:00,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,EN,text: sentence,text: sentence,"other (please specify)

Neural generation",Neural Text Style Transfer,Preservation of original content,None given,Correctness of Content,How much of the original contnet is retained after style transfer.,Direct quality estimation,not clear,not clear,Ordinal,Numerical Rating Scale,5,"1,2,3,4,5",Mean Average
69,4,ZCLXSGW2020,SM,31.07.2020,,,,,0:37:00,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,EN,text: sentence,text: sentence,"other (please specify)

Neural generation",Neural Text Style Transfer,Fluency,None given,Fluency,How fluent is the output after style transfer.,Direct quality estimation,not clear,not clear,Ordinal,Numerical Rating Scale,5,"1,2,3,4,5",Mean Average
70,5,WWAYC2020,SMi,30/07/2020,,,,,25,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,eng,structured data,text: paragraph,data-to-text generation (no summarisation),Data-to-text generation of biographies (Wikiperson),Grammar,none given,Grammaticality,Degree to which a sentence is free of grammatical errors,(Dis)agreement with quality statement,"""we ask the human raters to evaluate the grammar, fluency, and
faithfulness.""",Which of the following statement do you agree with,Ordinal,Verbal Descriptor Scale,4,"4 : There are no grammar errors.
3: There are a few grammar errors, but sentence
meaning is clear.
2: There are some grammar errors, but not influencing its meaning.
1: There are many grammar errors. People cannot understand the sentence meaning.",none given
71,5,WWAYC2020,SMi,30/07/2020,,,,,,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,eng,structured data,text: paragraph,data-to-text generation (no summarisation),Data-to-text generation of biographies (Wikiperson),Fluency,none given,Readability,Degree to which the meaning is clear and the sentence flows naturally and smoothly,(Dis)agreement with quality statement,"""we ask the human raters to evaluate the grammar, fluency, and
faithfulness.""",Which of the following statement do you agree with,Ordinal,Verbal Descriptor Scale,4,"4: The sentence meaning is clear and flow naturally and smoothly.
3: The sentence meaning is clear, but there are
a few interruptions.
2: The sentence does not flow smoothly but people can understand its meaning.
1: The sentence is not fluent at all and people
cannot understand its meaning.",none given
72,5,WWAYC2020,SMi,30/07/2020,,,,,,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,eng,structured data,text: paragraph,data-to-text generation (no summarisation),Data-to-text generation of biographies (Wikiperson),Faithfulness,"""A sentence is faithful if it contains only information supported by the table. [...] Also, the generated sentence should
cover as much information in the given table as possible""",Adequacy,Degree to which a text contains all and only the information present in the input,Evaluation through post-editing/annotation,not given,"""The raters first manually extract entities
from the generated sentences and then calculate
the precision as the percentage of entities in the
generated text also appear in the table; calculate
the recall as the percentage of entities in the table
also appear in the generated text. For each tabletext pair, its F-1 score is then calculated according
to the precision and recall.""",Text,Counting,N/A,,none given
73,5,LBHDC2020,SMi,30/07/2020,,,,,17,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,eng,text: subsentential units of text,text: sentence,end-to-end text generation,Generation of definitions starting from a word in its context,Fluency,none given,Quality of Surface Form,"Degree to which the text is of good quality; they seem to oppose it to the contents, so I think they refer to the form only here",Direct quality estimation,not given,Is the text fluent?,Ordinal,Likert Scale,5,not given,none given
74,5,LBHDC2020,SMi,30/07/2020,,,,,10,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,eng,text: subsentential units of text,text: sentence,end-to-end text generation,Generation of definitions starting from a word in its context,Semantic completeness,none given,Appropriateness of content given context,Degree to which the generated definition contains the necessary information,Direct quality estimation,not given,Is the text semantically complete?,Ordinal,Likert Scale,5,not given,none given
75,5,CCSCW2020,SMi,30/07/2020,,,,,12,ACL,"Chen, Chen, Su, Chen, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.708.pdf,eng,raw data,text: sentence,data-to-text generation (no summarisation),"Generation from raw data + inferences (multiple domains, LogicNLG dataset)",Quality,none given,Nonspecific Quality,Degree to which the generated text is of general good quality,(Dis)agreement with quality statement,not given,Choose which of the following statements better describes the generated text,Ordinal,Verbal Descriptor Scale,4,"1) non-sense: the sentence does not make much sense, which
 is mainly due to disfluency or repetition problem
2) wrong: a fluent sentence with wrong logic.
3) partial-correct: the sentence contains more than one fact, at least one of them is correct
4) correct: the high-quality in both fluency and logic correctness.",none given
76,5,LLJKH2020,SMi,30/07/2020,,,,,,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,eng,text: paragraph,text: sentence,question generation,Generation of question/answer pairs from Wikipedia text,Overall quality,none given,Nonspecific Quality,Degree to which the generated text is of general good quality,Unclear,not given,Rate the text quality from 0 to 100,Ordinal,Numerical Rating Scale,100,N/A,none given
77,5,LLJKH2020,SMi,30/07/2020,,,,,,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,eng,text: paragraph,text: sentence,question generation,Generation of question/answer pairs from Wikipedia text,Diversity,none given,Variedness,Degree to which the generated questions are varied?,Unclear,not given,Rate the text diversity from 0 to 100,Ordinal,Numerical Rating Scale,100,N/A,none given
78,5,LLJKH2020,SMi,30/07/2020,,,,,,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,eng,text: paragraph,text: sentence,question generation,Generation of question/answer pairs from Wikipedia text,Consistency,"""consistency between the generated QA pairs and the context""",Appropriateness of content given context,Degree to which the questions are appropriate given the original text,Unclear,not given,Rate the question consistency from 0 to 100,Ordinal,Numerical Rating Scale,100,N/A,none given
79,5,SWSZXGY2020,SMi,30/07/2020,,,,,12,ACL,"Song, Wang, Su, Zhang, Xu, Ge, & Yu",2020,https://www.aclweb.org/anthology/2020.acl-main.712.pdf,eng,deep linguistic representation,text: sentence,deep generation (DLR to text),AMR generation,none given,,Input Content Retention,Degree to which some of the relations between input entities are expressed in the text.,Evaluation through post-editing/annotation,not given,Is the interaction between these two entities visible in the output text?,Categorical,Verbal Descriptor Scale,2,yes/no,none given
80,5,MANSLFR2020,SMi,30/07/2020,,,,,7,ACL,"Mager, Astudillo, Naseem, Sultan, Lee, Florian, & Roukos",2020,https://www.aclweb.org/anthology/2020.acl-main.167.pdf,eng,deep linguistic representation,text: sentence,deep generation (DLR to text),AMR generation,Human evaluation,none given,Nonspecific Quality,"Degree to which the information is presented clearly and with appropriate grammar, vocabulary and style",(Dis)agreement with quality statement,not given,Choose which of the following statements better describes the generated text,Ordinal,Verbal Descriptor Scale,6,"0=Exceptionally poor (No useful information is conveyed at all.)
1=Poor (Fundamental errors in grammar and vocabulary make it difficult to understand the meaning.)
2=Not good enough (Errors in grammar, vocabulary and style make it difficult to understand the meaning.)
3=Good enough (There are errors in the text, but I am reasonably confident that I understand the meaning.)
4=Very good (There may be minor errors in the text, but I am very confident that I understand the meaning.)
5=Excellent (The information is presented clearly and with appropriate grammar, vocabulary and style.)",Pearson
81,5,IDCBE2020,SMi,30/07/2020,,,,,20,ACL,"Ippolito, Duckworth, Callison-Burch, & Eck",2020,https://www.aclweb.org/anthology/2020.acl-main.164.pdf,eng,other: word,text: document,other: GPT-2 generation starting from a token,Random generation of contents as found in web pages,none given,none given,Humanlikeness,Degree to which the text is likely to have been written by a human,Direct quality estimation,"""Guess
whether the text on the left was written by a human
or by a computer algorithm. [...] What do you think the source is?""",,Ordinal,Verbal Descriptor Scale,4,"Definitely Human-written
Possibly Human-written
Possibly Machine-generated
Definitely Machine-generated",none given
82,5,DLL2020,SMi,30/07/2020,,,,,14,ACL,"Donahue, Lee, & Liang",2020,https://www.aclweb.org/anthology/2020.acl-main.225.pdf,eng,other: document with gaps.,text: document,other: text infilling,Fill gaps (sentences or parts of sentences) in texts of the STORIES dataset,none given,none given,Humanlikeness,Degree to which the text is likely to have been written by a machine,Evaluation through post-editing/annotation,"""Identify one of the five sentences generated by machine.""",,Categorical,Free-text entry,5,5 sentences,none given
83,5,ZCLXSGW2020,SMi,30/07/2020,,,,,13,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,eng,text: sentence,text: sentence,feature-controlled generation,Stye transfer in restaurant reviews (YELP dataset) and GYAFC dataset,Transfer accuracy,none given,Inferrability of Speaker Stance (specify object of stance here),Degree to which the target style can be correctly identified in the text,Unclear,not given,,Ordinal,Likert Scale,5,not given,Fleiss kappa
84,5,ZCLXSGW2020,SMi,30/07/2020,,,,,,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,eng,text: sentence,text: sentence,feature-controlled generation,Stye transfer in restaurant reviews (YELP dataset) and GYAFC dataset,Content preservation,none given,Input Content Retention,Degree to which the main contents have been preserved in the output,Unclear,not given,,Ordinal,Likert Scale,5,not given,Fleiss kappa
85,5,ZCLXSGW2020,SMi,30/07/2020,,,,,,ACL,"Zhou, Chen, Liu, Xiao, Su, Guo, & Wu",2020,https://www.aclweb.org/anthology/2020.acl-main.639.pdf,eng,text: sentence,text: sentence,feature-controlled generation,Stye transfer in restaurant reviews (YELP dataset) and GYAFC dataset,Fluency,none given,Readability,Degree to which the text read well?,Unclear,not given,,Ordinal,Likert Scale,5,not given,Fleiss kappa
86,5,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,
